SESSION_START;2532246048494289747;1681851039;
START_LEVEL;2532246048494289747;1681851040;1;
LANDING_EVENT;2532246048494289747;1681851041;0;-5,017658;
ARRIVE_NEW_ZONE;2532246048494289747;1681851041;1;
THROW_HOOK;2532246048494289747;1681851116;11,23337;164,7254;12,3235;173,6952;2;
HIT_HOOK;2532246048494289747;1681851116;11,23337;164,2254;0,7238731;6,456146;
ARRIVE_NEW_ZONE;2532246048494289747;1681851116;3;
LANDING_EVENT;2532246048494289747;1681851117;7,829967;162,9902;
THROW_HOOK;2532246048494289747;1681851117;7,829967;163,4902;13,70343;176,5251;2;
HIT_HOOK;2532246048494289747;1681851117;7,829967;162,9902;3,28653;7,793701;
LANDING_EVENT;2532246048494289747;1681851119;6,528379;182,9902;
THROW_HOOK;2532246048494289747;1681851119;6,785994;183,4902;14,62338;192,292;2;
HIT_HOOK;2532246048494289747;1681851119;6,785994;182,9902;4,655061;5,72789;
THROW_HOOK;2532246048494289747;1681851119;11,25125;191,961;11,36522;196,7014;1;
HIT_HOOK;2532246048494289747;1681851119;11,25125;191,461;0,07210922;3,49913;
LANDING_EVENT;2532246048494289747;1681851121;14,61177;190,9902;
THROW_HOOK;2532246048494289747;1681851121;13,90836;191,4726;7,915408;200,9939;2;
HIT_HOOK;2532246048494289747;1681851122;13,90836;190,9891;-2,130753;3,868774;
THROW_HOOK;2532246048494289747;1681851122;12,82492;202,8897;10,10029;212,065;1;
HIT_HOOK;2532246048494289747;1681851122;12,82492;202,3897;-1,992689;7,210327;
LANDING_EVENT;2532246048494289747;1681851124;1,766818;220,9902;
THROW_HOOK;2532246048494289747;1681851124;-0,9070829;221,4726;-12,13185;231,3441;2;
HIT_HOOK;2532246048494289747;1681851124;-0,9070829;220,9902;-9,01106;8,406967;
LANDING_EVENT;2532246048494289747;1681851125;-10,84805;230,7246;
LANDING_EVENT;2532246048494289747;1681851125;3,000958;230,9902;
THROW_HOOK;2532246048494289747;1681851126;11,10096;231,4902;10,75192;242,3444;2;
HIT_HOOK;2532246048494289747;1681851126;11,10096;230,9902;-0,1607037;5,497406;
ARRIVE_NEW_ZONE;2532246048494289747;1681851126;4;
THROW_HOOK;2532246048494289747;1681851128;10,58977;249,0497;11,28856;255,9426;1;
HIT_HOOK;2532246048494289747;1681851128;10,58977;248,5497;0,1008615;1,494904;
LANDING_EVENT;2532246048494289747;1681851128;5,621064;250,915;
THROW_HOOK;2532246048494289747;1681851129;1,138722;251,4853;-0,3641478;263,8806;2;
HIT_HOOK;2532246048494289747;1681851129;1,138722;250,9899;-0,7221851;6,451828;
LANDING_EVENT;2532246048494289747;1681851129;-0,493135;258,7122;
THROW_HOOK;2532246048494289747;1681851130;8,434193;261,7213;9,142008;269,9477;2;
HIT_HOOK;2532246048494289747;1681851130;8,434193;261,2213;0,2571774;3,488922;
ARRIVE_NEW_ZONE;2532246048494289747;1681851130;5;
LANDING_EVENT;2532246048494289747;1681851132;17,81746;274,9941;
LANDING_EVENT;2532246048494289747;1681851133;0,7813432;281,6159;
THROW_HOOK;2532246048494289747;1681851134;-2,415445;282,1129;7,455434;291,768;2;
HIT_HOOK;2532246048494289747;1681851134;-2,415445;281,6159;7,148798;7,489563;
LANDING_EVENT;2532246048494289747;1681851135;1,855674;296,1185;
THROW_HOOK;2532246048494289747;1681851136;3,814382;296,5302;5,040561;306,7359;2;
HIT_HOOK;2532246048494289747;1681851136;3,814382;296,0302;0,9543076;8,442871;
THROW_HOOK;2532246048494289747;1681851137;-0,1237287;316,5893;0,7857904;320,7771;1;
LANDING_EVENT;2532246048494289747;1681851139;-1,069464;306,9902;
THROW_HOOK;2532246048494289747;1681851139;-2,778305;309,0311;-0,4408102;323,1404;2;
HIT_HOOK;2532246048494289747;1681851139;-2,778305;308,5311;1,797863;11,35196;
THROW_HOOK;2532246048494289747;1681851140;0,7595544;329,3928;-5,002231;330,7917;1;
HIT_HOOK;2532246048494289747;1681851140;0,7595544;328,8928;-1,943536;0,9718628;
LANDING_EVENT;2532246048494289747;1681851142;-5,021832;330,9902;
THROW_HOOK;2532246048494289747;1681851143;1,274752;334,6644;-1,399091;345,4717;2;
HIT_HOOK;2532246048494289747;1681851143;1,274752;334,1644;-2,401699;10,20734;
THROW_HOOK;2532246048494289747;1681851144;5,941866;355,8955;6,037175;362,934;1;
HIT_HOOK;2532246048494289747;1681851145;5,941866;355,3955;0,08123875;6,499451;
LANDING_EVENT;2532246048494289747;1681851145;6,045964;362,804;
LANDING_EVENT;2532246048494289747;1681851145;9,499937;362,9149;
LANDING_EVENT;2532246048494289747;1681851146;3,682761;362,9714;
ARRIVE_NEW_ZONE;2532246048494289747;1681851146;6;
THROW_HOOK;2532246048494289747;1681851146;-5,317239;366,6054;-12,78348;372,8902;2;
HIT_HOOK;2532246048494289747;1681851146;-5,317239;366,1054;-3,825207;3,71991;
THROW_HOOK;2532246048494289747;1681851147;-6,783727;373,7484;-4,312267;381,0464;1;
HIT_HOOK;2532246048494289747;1681851147;-6,783727;373,2484;1,603782;5,23587;
RECEIVE_DMG;2532246048494289747;1681851149;OBSTACLE;8,998;383,004;
RECEIVE_DMG;2532246048494289747;1681851149;OBSTACLE;11;385;
THROW_HOOK;2532246048494289747;1681851150;7,3561;387,8259;11,83359;396,785;2;
HIT_HOOK;2532246048494289747;1681851150;7,3561;387,3259;3,5764;7,656006;
THROW_HOOK;2532246048494289747;1681851150;8,827519;402,6538;-0,2108213;405,8862;1;
LANDING_EVENT;2532246048494289747;1681851153;16,14976;396,9902;
THROW_HOOK;2532246048494289747;1681851154;7,026954;400,5596;1,552418;407,1039;2;
HIT_HOOK;2532246048494289747;1681851154;7,026954;400,0596;-1,924901;2,800995;
THROW_HOOK;2532246048494289747;1681851155;-4,509687;409,5084;-5,385543;417,1238;1;
HIT_HOOK;2532246048494289747;1681851155;-4,509687;409,0084;-0,3427749;3,480316;
LANDING_EVENT;2532246048494289747;1681851156;-14,92171;422,9902;
THROW_HOOK;2532246048494289747;1681851157;-7,133115;426,7005;0,7474585;434,8732;2;
HIT_HOOK;2532246048494289747;1681851157;-7,133115;426,2005;2,776499;3,379395;
THROW_HOOK;2532246048494289747;1681851158;3,814132;435,1316;6,075507;442,4442;1;
HIT_HOOK;2532246048494289747;1681851158;3,814132;434,6316;1,181746;4,321411;
LANDING_EVENT;2532246048494289747;1681851159;-3,693078;448,9902;
THROW_HOOK;2532246048494289747;1681851159;-4,593078;449,4857;-11,67187;458,8419;2;
THROW_HOOK;2532246048494289747;1681851160;-4,593078;449,4902;-10,10029;459,7625;2;
HIT_HOOK;2532246048494289747;1681851160;-4,593078;448,9902;-3,780015;7,550537;
ARRIVE_NEW_ZONE;2532246048494289747;1681851161;7;
THROW_HOOK;2532246048494289747;1681851162;1,194032;470,3219;-1,475754;475,6642;1;
HIT_HOOK;2532246048494289747;1681851162;1,194032;469,8219;-1,788145;4,078125;
LANDING_EVENT;2532246048494289747;1681851162;0,1126578;474,7576;
END_LEVEL;2532246048494289747;1681851162;1;
EXIT_LEVEL;2532246048494289747;1681851162;1;
